id_abt,id_buy,name_abt,name_buy,label,run1_pred,run2_pred,run3_pred,run4_pred,run5_pred,agreement_rate,majority_pred
27964,203136103,LG LRBP1031 White Bottom-Freezer Refrigerator - LRBP1031WH,LG Electronics LRBP1031W 10 Cu. Ft. Refrigerator,1,1,1,1,1,1,1.0,1
36446,208226698,Speck SeeThru Blue Hard Shell Case For 15' MacBook - MB15BLUSEEV2,Speck Products SeeThru Case for Apple 15' MacBook Pro - MB15-BLU-SEE-V2,1,1,1,1,1,1,1.0,1
37531,204226641,Case Logic Vertical Universal Leather BlackBerry Case - CLP104BB,Case Logic Universal Vertical PDA Leather Pouch - CLP104BB,1,1,1,1,1,1,1.0,1
31014,205777541,Universal RF Base Station - MRF260,Universal Remote Control MRF-260 Barrier-Free Addressable RF Base Station,1,1,1,1,1,1,1.0,1
35384,208289993,Sony Black DVD Recorder And VHS Combo Player - RDRVX560,Sony RDR-VX560 DVD/VCR Combo,1,1,1,1,1,1,1.0,1
14070,203162678,Cuisinart Automatic Brew And Serve Coffeemaker - DTC975BK,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,1,1,1,0,1,1,0.8,1
36451,208237792,Speck SeeThru Green Hard Shell Case For 15' MacBook - MB15GRNSEEV2,Speck Products SeeThru Case for Apple 15' MacBook Pro - MB15-GRN-SEE-V2,1,1,1,1,1,1,1.0,1
26346,202537962,Panasonic KX-TG4500B Black 5.8 GHz Cordless Phone System - KXTG4500B,Panasonic KX-TG4500B Corded/Cordless Telephone,1,0,0,0,0,0,1.0,0
39039,210490135,Garmin Nuvi 885T GPS Navigation System - 0100057730,Garmin 010-00577-30 Nvi(r) 885t Travel Assistant,1,1,1,1,1,1,1.0,1
28554,204443417,Olympus PS-BLS1 Lithium Ion Rechargeable Battery - LIIONPSBLS1,Olympus PS-BLS1 Lithium Ion Digital Camera Battery - 260236,1,1,1,1,1,1,1.0,1
35900,208190046,Canon White Selphy CP760 Compact Photo Printer - 2565B001,Canon SELPHY CP760 Dye Sublimation Printer - 2565B001,1,1,1,1,1,1,1.0,1
34130,207652053,Samsung 5 Disc Black Home Theater System - HTZ410T,SAMSUNG DVD HM THEATER SYS 5 DISC NIC - HT-Z410/XAA,1,1,1,1,1,1,1.0,1
25905,202479418,Lowepro Digital Camera Case In Black - EDIT100BK,"Lowepro Edit 100 Case for Camcorder - Nylon, MicroFiber - Black (Black)",1,1,1,1,1,1,1.0,1
29338,202143947,Sony Memory Stick USB Adaptor - MSACUS40,Sony Memory Stick USB Card Reader/Writer - MSACUS40,1,1,1,1,1,1,1.0,1
37803,207875395,Logitech White V470 Cordless Laser Mouse For Apple Notebooks - 910000692,Logitech V470 Cordless Laser Mouse for Notebooks - 910-000692,1,1,1,1,1,1,1.0,1
35308,208270234,Bracketron Black GPS Low-Pro Windshield Mount - SWM400BL,Bracketron Low-Pro Windshield Mount - SWM-400-BL,1,1,1,1,1,1,1.0,1
33280,206808434,Canon Vixia High Definition Camcorder - HF10,Canon VIXIA HF10 High Definition Digital Camcorder - 2573B001,1,1,1,1,1,1,1.0,1
34395,206362749,Polk Audio CSI A6 Black Center Channel Loudspeaker - CSIA6BK,Polkaudio CSi A6 Black High Performance Center Channel Loudspeaker - AM6615-A,1,1,1,1,1,1,1.0,1
36859,210399849,Denon D-M37 Black CD/AM/FM Micro System - DM37SBK,Denon DM37SBK - D-M37SBK,1,1,1,1,1,1,1.0,1
