id,title,manufacturer_shown,true_manufacturer,is_mislabeled,rule_pred_mislabeled,llm_pred_mislabeled,raw_response,category
b000hlp5w0,fate,encore,encore,0,1,1,INCORRECT,both_wrong
b000mrnc9m,taxcut home & bus +state + sage includes act 8.0 & peachtree 2007,h&r block,h&r block,0,1,1,INCORRECT,both_wrong
b000oziaz8,child safe 3-pc,webroot software,webroot software,0,1,1,INCORRECT,both_wrong
b000ndo7n0,video patrol 5.0 by honest technology,global marketing partners,global marketing partners,0,1,1,INCORRECT,both_wrong
b000ijngeu,3 great games for guys,dreamcatcher interactive,dreamcatcher interactive,0,1,1,INCORRECT,both_wrong
b000bnb72g,movies on psp,x-oom,x-oom,0,1,1,INCORRECT,both_wrong
b000lxdrjm,pro digital frame bundle 1u,onone software,onone software,0,1,1,INCORRECT,both_wrong
b000gcgqd2,marketcircle daylite v3.0 (mac),csdc,csdc,0,1,1,INCORRECT,both_wrong
b000pienka,weekly reader mastering high school 2008,fogware publishing,fogware publishing,0,1,1,INCORRECT,both_wrong
b000h5ex7e,world of warcraft pc,vivendi,vivendi,0,1,1,INCORRECT,both_wrong
b000098xjo,custom landdesigner 3d design 7.0,sierra on-line,sierra on-line,0,1,1,INCORRECT,both_wrong
b000fc4du6,upgrade acid pro 6 boxed,sony pictures digital entertainment,sony pictures digital entertainment,0,1,1,INCORRECT,both_wrong
b000aoz7hw,evergirl,thq,thq,0,1,1,INCORRECT,both_wrong
b000ndemb2,f-secure internet security 2007 - 3 pcs,global marketing partners,global marketing partners,0,1,1,INCORRECT,both_wrong
b0002wt64m,g7 kontakt edition,sibelius software ltd.,sibelius software ltd.,0,1,1,INCORRECT,both_wrong
b000hcqqmc,galaxy of games 5000,2k games,2k games,0,1,1,INCORRECT,both_wrong
b000k7vinq,intervideo windvd 8 platinum,corel,corel,0,1,1,INCORRECT,both_wrong
b000frqfe8,macjournal v4 (mac),csdc,csdc,0,1,1,INCORRECT,both_wrong
b000h241x8,chicken hunter wanted jc,encore,encore,0,1,1,INCORRECT,both_wrong
b0002yitti,er,vivendi universal,vivendi universal,0,1,1,INCORRECT,both_wrong
b000i5wcp8,american idol extreme music creator,sony media,sony media,0,1,1,INCORRECT,both_wrong
b000bcdrdo,scholastic brain play: pre-kindergarten - 1st grade,topics entertainment,topics entertainment,0,1,1,INCORRECT,both_wrong
b000mvp5i4,captain america the complete comic collection win/mac,git corp,git corp,0,1,1,INCORRECT,both_wrong
b0009jgv50,john deere: busy days in deerfield valley,destineer publishing,destineer publishing,0,1,1,INCORRECT,both_wrong
b0001g6u98,retrospect 6.0 desktop mac upgrade,dantz,dantz,0,1,1,INCORRECT,both_wrong
b0001bfdau,soundtrack 1.2,apple,apple,0,1,1,INCORRECT,both_wrong
b000h27psq,hoyle casino 2007,encore,encore,0,1,1,INCORRECT,both_wrong
b000h25yse,state standards - grade 6,topics entertainment,topics entertainment,0,1,1,INCORRECT,both_wrong
b000kmehfw,123 movies 2 ipod w/ av cables umd size,bling,bling,0,1,1,INCORRECT,both_wrong
b000088nqp,post mortem,dreamcatcher interactive,dreamcatcher interactive,0,1,1,INCORRECT,both_wrong
b00007e8bi,oxford world encyclopedia,tri synergy,tri synergy,0,1,1,INCORRECT,both_wrong
b00005ld1r,model web publisher 3.5.2 .,computer associates international,computer associates international,0,1,1,INCORRECT,both_wrong
b000h2421o,quicken legal business pro 2007,nolo press,nolo press,0,1,1,INCORRECT,both_wrong
b000mgvnks,gorilla 4 standard,jungle software,jungle software,0,1,1,INCORRECT,both_wrong
b000j00xf8,intervideo dvd copy 5 platinum,corel,corel,0,1,1,INCORRECT,both_wrong
b000ivkrvs,window washer,webroot software inc,webroot software inc,0,1,1,INCORRECT,both_wrong
b000bypfu0,sharks 2.0,encore software,encore software,0,1,1,INCORRECT,both_wrong
b000h229hi,state standards - grade 8,topics entertainment,topics entertainment,0,1,1,INCORRECT,both_wrong
b000aa878m,agatha christie: and then there were none,dreamcatcher interactive,dreamcatcher interactive,0,1,1,INCORRECT,both_wrong
b000hlt5g2,monopoly here & now,encore,encore,0,1,1,INCORRECT,both_wrong
b0009n4gx0,timbuktu remote control softwre 2 licenses for windows & mac,netopia,netopia,0,1,1,INCORRECT,both_wrong
b000gcd73y,snap! hair styler studio,topics entertainment,topics entertainment,0,1,1,INCORRECT,both_wrong
b000hhvb9k,monopoly here & now,encore,encore,0,1,1,INCORRECT,both_wrong
