id,title,manufacturer_shown,true_manufacturer,is_mislabeled,rule_pred_mislabeled,llm_pred_mislabeled,raw_response,category
b000i3ec9y,zonealarm anti-spyware,zone labs,zone labs,0,1,0,CORRECT,llm_right_rule_wrong
b000922dwc,zonealarm firewall pro 5 (free upgrade to new version),zone labs,zone labs,0,1,0,CORRECT,llm_right_rule_wrong
b000qgixde,the guild 2 - pirates of the seas,dreamcatcher interactive,dreamcatcher interactive,0,1,0,CORRECT,llm_right_rule_wrong
b000kehnvu,symc backup exec aofo 11d win advanced open file option,symantec,symantec,0,1,0,CORRECT,llm_right_rule_wrong
b0002b0qfg,imsi resume writer deluxe [lb],imsi design,imsi design,0,1,0,CORRECT,llm_right_rule_wrong
b000flcn40,encyclopedia of our living oceans,dk multimedia,dk multimedia,0,1,0,CORRECT,llm_right_rule_wrong
b0007d8eq2,crystal reports xi developer,business objects,business objects,0,1,0,CORRECT,llm_right_rule_wrong
b000ra778g,wheel of fortune deluxe,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b0007lw22g,apple ilife '06 (mac dvd) [older version],apple computer,apple computer,0,1,0,CORRECT,llm_right_rule_wrong
b0001bg5gq,clip art and more 250 000 (jewel case),imsi design,imsi design,0,1,0,CORRECT,llm_right_rule_wrong
b000hbys5k,quickbooks simple start 2007,intuit,intuit,0,1,0,CORRECT,llm_right_rule_wrong
b000fovsha,alliance future combat,strategy first,strategy first,0,1,0,CORRECT,llm_right_rule_wrong
b0000azk3v,extensis smartscale 1-user ( pxe-11433 ),extensis corporation,extensis corporation,0,1,0,CORRECT,llm_right_rule_wrong
b0000swrmq,lotus dev. ws bus int monitor v4.2.4-multi plat mp eng ( af04mna ),lotus development corp,lotus development corp,0,1,0,CORRECT,llm_right_rule_wrong
b000bc38o2,media studio for psp standard editon,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000evo8h6,student home learning system for pc/mac,fogware publishing,fogware publishing,0,1,0,CORRECT,llm_right_rule_wrong
b000bcicxy,vivaldi's musical adventure pod,fogware publishing,fogware publishing,0,1,0,CORRECT,llm_right_rule_wrong
b000exu99k,jumpstart advanced preschool v2.0,knowledge adventure,knowledge adventure,0,1,0,CORRECT,llm_right_rule_wrong
b000az841m,wasp bar code - wasp bar code labeler - complete package - 3 users - std - cd -,wasp technologies,wasp technologies,0,1,0,CORRECT,llm_right_rule_wrong
b000jx5nm8,audio success suite edition:sales success,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b00005wf9v,swat 4: special weapons and tactics,vivendi universal,vivendi universal,0,1,0,CORRECT,llm_right_rule_wrong
b000ivhozk,instant immersion language lab deluxe edition,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000pg8kxs,the print shop elements: labels & logos sb cs by the print shop,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000fcyts2,zend studio 5.1 (win/mac),zend technologies inc.,zend technologies inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000v7rij8,my guitar,emedia,emedia,0,1,0,CORRECT,llm_right_rule_wrong
b000az16r6,mobileinventory additional mobile license,wasp technologies,wasp technologies,0,1,0,CORRECT,llm_right_rule_wrong
b000szyqam,make music allegro 2007 labpack - 5 user,makemusic!,makemusic!,0,1,0,CORRECT,llm_right_rule_wrong
b000h16p9m,quicken 2007 basic,intuit,intuit,0,1,0,CORRECT,llm_right_rule_wrong
b000hlt5j4,designcad v 17,imsi,imsi,0,1,0,CORRECT,llm_right_rule_wrong
b0002uhuii,encore the big box of art 410 000 ( 460001 ),encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000nwsclo,photoshop elements 5 and premiere elements 3 bundle win minibox (29180248),adobe,adobe,0,1,0,CORRECT,llm_right_rule_wrong
b000jx5ppi,photo go,sony media software,sony media software,0,1,0,CORRECT,llm_right_rule_wrong
b00004vx3p,easy drums (jewel case),arcmedia,arcmedia,0,1,0,CORRECT,llm_right_rule_wrong
b000enucs8,punch! master landscape professional & home design v 10.0,punch! software,punch! software,0,1,0,CORRECT,llm_right_rule_wrong
b000aoz7jk,net ad creator,laughing bird,laughing bird,0,1,0,CORRECT,llm_right_rule_wrong
b0002i6l7g,sibelius 4 professional edition,sibelius software ltd.,sibelius software ltd.,0,1,0,CORRECT,llm_right_rule_wrong
b000etyt5o,ares rising,interplay,interplay,0,1,0,CORRECT,llm_right_rule_wrong
b0002ip4lu,test and improve your memory (dvd box),tri synergy,tri synergy,0,1,0,CORRECT,llm_right_rule_wrong
b00007e8d4,multiplication and division grades 3-4,school zone,school zone,0,1,0,CORRECT,llm_right_rule_wrong
b000f7bps4,palo alto marketing plan pro 9.0,palo alto software,palo alto software,0,1,0,CORRECT,llm_right_rule_wrong
b000b6n2o4,webroot spy sweeper antispyware 5.x,webroot software,webroot software,0,1,0,CORRECT,llm_right_rule_wrong
b000rsk7k8,ufo afterlight,topware interactive,topware interactive,0,1,0,CORRECT,llm_right_rule_wrong
b000m9c70k,spring cleaning 9.0 for mac os 10.4 & above,aladdin systems,aladdin systems,0,1,0,CORRECT,llm_right_rule_wrong
b000exw510,jumpstart advanced 2nd grade v2.0,knowledge adventure,knowledge adventure,0,1,0,CORRECT,llm_right_rule_wrong
b000j588g4,photo explosion 3.0,nova development,nova development,0,1,0,CORRECT,llm_right_rule_wrong
